OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,BuyBaseAssetVolume,BuyQuoteAssetVolume,Ignore,RSI,MACD,MACDSign,MACDHist,Change
1503439200000,3999.96,4046.11,3944.03,4040,72.354684,1503446399999,289229.32700832,533,18.794651,75353.60675434,11773.27950025,53.78,-28.08,-33.31,5.23,93.33
1503446400000,4040,4100,4013.89,4100,70.426447,1503453599999,285615.41153246,412,12.110464,49341.7057374,11732.71724311,56.48,-13.71,-20.24,6.53,60
1503453600000,4101.53,4127.99,4049.74,4100.41,89.231937,1503460799999,365390.19610561,585,11.310029,46463.47047907,11715.48393939,56.5,-2.23,-8.23,6.01,0.41
1503460800000,4084.54,4115.87,4053.18,4053.18,70.688849,1503467999999,288444.4656378,508,16.252413,66595.52597664,11739.14967828,53.64,3.28,-0.55,3.84,-47.23
1503468000000,4064,4099.99,4035.32,4074.88,71.150754,1503475199999,289875.63982494,603,11.031786,45117.97418113,11859.67684336,54.77,9.21,5.95,3.25,21.7
1503475200000,4081.63,4242.32,4057,4203.12,77.879115,1503482399999,322065.23336167,472,13.981947,58084.22776258,11859.40287037,60.85,23.38,17.57,5.81,128.24
1503482400000,4208.11,4237.99,4174.09,4237.99,57.144907,1503489599999,240550.31574219,581,22.213283,93648.96970053,11980.18275816,62.33,36.87,30.44,6.43,34.87
1503489600000,4205.98,4265.8,4155,4211,143.886944,1503496799999,605993.14607379,1679,85.209106,359269.00697894,12214.28569998,60.43,45.05,40.18,4.87,-26.99
1503496800000,4166.89,4226.95,4150.65,4197.05,93.473625,1503503999999,391813.6534643,922,43.738609,183792.81121559,12250.54758856,59.42,49.92,46.67,3.25,-13.95
1503504000000,4226.94,4259.58,4166.27,4166.27,110.320249,1503511199999,464715.34030641,1420,48.204989,203743.7585813,12583.70962094,57.14,50.88,49.48,1.4,-30.78
1503511200000,4166.27,4191.71,4103.51,4117.07,64.317336,1503518399999,266540.90734034,436,5.779089,24069.67296374,12654.96938119,53.61,47.37,48.07,-0.7,-49.2
1503518400000,4136.48,4178.65,4073.41,4090,83.825741,1503525599999,344283.60626817,497,23.522217,97063.10730904,12670.05681311,51.72,42.05,44.06,-2.01,-27.07
1503525600000,4090,4169.99,4069.8,4114.01,68.790661,1503532799999,283398.550162,514,16.06516,66376.86430867,12724.37533462,53.29,39.19,40.81,-1.62,24.01
1503532800000,4147,4195,4113.9,4140.91,60.678014,1503539999999,251328.91701475,428,8.656037,35995.58962133,12789.38526712,55.06,38.52,39.29,-0.76,26.9
1503540000000,4141.88,4204.55,4085.01,4113.58,62.842136,1503547199999,260221.44737518,475,18.404706,76395.86278782,12817.18909037,52.87,35.52,36.77,-1.26,-27.33
1503547200000,4113.58,4177.64,4090.39,4132.09,60.40634,1503554399999,249234.13362395,439,12.684852,52556.10948579,13018.71198253,54.2,34.14,35.02,-0.88,18.51
1503554400000,4132.09,4177.18,4131.91,4153.32,62.77312,1503561599999,260630.40618031,350,8.971297,37406.36564641,13163.63412102,55.74,34.26,34.52,-0.25,21.23
1503561600000,4153.8,4224,4150,4165.01,71.191774,1503568799999,298191.66533875,596,20.806055,87365.96785152,13112.82591584,56.61,34.85,34.74,0.11,11.69
1503568800000,4166,4250.94,4165.01,4202,100.294714,1503575999999,419868.45590746,1118,52.249795,219133.19606479,13880.36118142,59.32,37.7,36.71,0.99,36.99
1503576000000,4211.78,4224.64,4136.33,4157.74,70.00115,1503583199999,291836.83026368,695,17.187434,71883.74642637,14031.84362759,54.9,36.19,36.37,-0.17,-44.26
1503583200000,4173.11,4250.9,4157.74,4222,76.996192,1503590399999,323532.01526519,569,26.195298,110093.86458866,14134.68303832,59.61,39.42,38.4,1.02,64.26
1503590400000,4223.06,4250.71,4178.22,4188.18,56.858253,1503597599999,239617.39998299,477,9.486557,40064.83744841,14272.71067785,56.28,38.98,38.79,0.19,-33.82
1503597600000,4188.18,4250.77,4179.22,4216.07,54.721105,1503604799999,230232.99414389,362,6.754673,28538.50123863,14250.42269951,58.34,40.29,39.79,0.5,27.89
1503604800000,4216.1,4245,4193.17,4207,46.342256,1503611999999,195324.96202951,388,9.220668,39007.42041662,14289.14942538,57.39,40.18,40.05,0.13,-9.07
1503612000000,4207,4371.68,4206.11,4316.01,64.313699,1503619199999,276457.1860391,350,16.20304,69937.60255485,14231.32630532,64.81,47.82,45.23,2.59,109.01
1503619200000,4316.01,4370,4310.59,4333.01,84.889988,1503626399999,368640.79988612,1107,12.693374,55267.76828708,14114.77493055,65.81,54.56,51.45,3.11,17
1503626400000,4333.01,4363.71,4295.75,4312.69,56.214538,1503633599999,243343.24906617,404,15.814714,68662.54153275,13596.04615877,63.49,57.73,55.64,2.09,-20.32
1503633600000,4312.69,4362,4281.04,4281.04,48.344843,1503640799999,208997.62774953,474,9.799669,42480.66194662,13329.78759375,59.94,57.19,56.67,0.52,-31.65
1503640800000,4294.79,4335,4267.5,4329,53.1647,1503647999999,228865.8268508,451,8.463067,36525.02040474,13393.94329836,63.29,59.73,58.71,1.02,47.96
1503648000000,4317.81,4354.35,4316.54,4344.56,33.598493,1503655199999,145563.42536767,351,5.728375,24885.91728885,13511.8940777,64.33,62.21,61.04,1.17,15.56
1503655200000,4344.56,4361.28,4298.74,4361.27,40.834567,1503662399999,176874.55191301,343,10.231196,44451.57236494,13694.31899824,65.47,64.72,63.49,1.23,16.71
